"id","composer","composition","movement","ensemble","source","transcriber","catalog_name","seconds"
1727,"Schubert","Piano Quintet in A major","2. Andante","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",447
1728,"Schubert","Piano Quintet in A major","3. Scherzo: Presto","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",251
1729,"Schubert","Piano Quintet in A major","4. Andantino - Allegretto","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",444
1730,"Schubert","Piano Quintet in A major","5. Allegro giusto","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",368
1733,"Schubert","Piano Sonata in A major","2. Andantino","Solo Piano","Museopen","Segundo G. Yogore","D959",546
1734,"Schubert","Piano Sonata in A major","3. Scherzo. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D959",325
1735,"Schubert","Piano Sonata in A major","4. Rondo. Allegretto","Solo Piano","Museopen","Segundo G. Yogore","D959",714
1739,"Schubert","Piano Trio in B-flat major","4. Rondo. Allegro vivace","Piano Trio","European Archive","harfesoft.de","OP99",490
1742,"Schubert","String Quintet in C major","2. Adagio","Viola Quintet","European Archive","harfesoft.de","OP163",924
1749,"Schubert","Piano Sonata in A minor","1. Moderato","Solo Piano","Museopen","Segundo G. Yogore","D845",696
1750,"Schubert","Piano Sonata in A minor","2. Andante poco mosso","Solo Piano","Museopen","Segundo G. Yogore","D845",784
1751,"Schubert","Piano Sonata in A minor","3. Scherzo. Allegro vivace - Trio. Un poco piu lento","Solo Piano","Museopen","Segundo G. Yogore","D845",475
1752,"Schubert","Piano Sonata in A minor","4. Rondo. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D845",362
1755,"Schubert","Piano Sonata in A minor","2. Andante","Solo Piano","Museopen","Segundo G. Yogore","D784",229
1756,"Schubert","Piano Sonata in A minor","3. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D784",371
1757,"Schubert","Piano Sonata in C minor","1. Allegro","Solo Piano","Museopen","Martin Charles Bucknall","D958",710
1758,"Schubert","Piano Sonata in C minor","2. Adagio","Solo Piano","Museopen","Martin Charles Bucknall","D958",468
1759,"Schubert","Piano Sonata in C minor","3. Menuetto and Trio","Solo Piano","Museopen","Martin Charles Bucknall","D958",194
1760,"Schubert","Piano Sonata in C minor","4. Allegro","Solo Piano","Museopen","Martin Charles Bucknall","D958",655
1763,"Schubert","4 Impromptus","1. Impromptu in F minor","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",600
1764,"Schubert","4 Impromptus","2. Impromptu in A-flat major","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",438
1765,"Schubert","4 Impromptus","3. Impromptu in B-flat major","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",676
1766,"Schubert","4 Impromptus","4. Impromptu in F minor","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",427
1768,"Schubert","Piano Sonata in A major","2. Andante","Solo Piano","Museopen","Segundo G. Yogore","D664",290
1771,"Schubert","Piano Sonata in D-flat major","1. Allegro moderato","Solo Piano","Museopen","Segundo G. Yogore","D568",647
1772,"Schubert","Piano Sonata in D-flat major","2. Andante molto","Solo Piano","Museopen","Segundo G. Yogore","D568",417
1773,"Schubert","Piano Sonata in D-flat major","3. Menuetto. Allegretto","Solo Piano","Museopen","Segundo G. Yogore","D568",307
1775,"Schubert","Piano Sonata in D major","1. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D850",578
1776,"Schubert","Piano Sonata in D major","2. Con moto","Solo Piano","Museopen","Segundo G. Yogore","D850",726
1777,"Schubert","Piano Sonata in D major","3. Scherzo. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D850",629
1788,"Mozart","String Quartet No 19 in C major","1. Adagio - Allegro","String Quartet","Museopen","Gunter R. Findenegg","K465",513
1789,"Mozart","String Quartet No 19 in C major","2. Andante cantabile","String Quartet","Museopen","Gunter R. Findenegg","K465",461
1790,"Mozart","String Quartet No 19 in C major","3. Menuetto. Allegro","String Quartet","Museopen","Gunter R. Findenegg","K465",323
1791,"Mozart","String Quartet No 19 in C major","4. Allegro molto","String Quartet","Museopen","Gunter R. Findenegg","K465",351
1792,"Mozart","String Quartet No 19 in C major","1. Adagio - Allegro","String Quartet","European Archive","Gunter R. Findenegg","K465",472
1793,"Mozart","String Quartet No 19 in C major","2. Andante cantabile","String Quartet","European Archive","Gunter R. Findenegg","K465",504
1805,"Mozart","String Quartet No 14 in G major","1. Allegro vivace assai","String Quartet","European Archive","Gunter R. Findenegg","K387",356
1807,"Mozart","String Quartet No 14 in G major","3. Andante cantabile","String Quartet","European Archive","Gunter R. Findenegg","K387",444
1811,"Mozart","Clarinet Quintet in A major","2. Larghetto","Clarinet Quintet","William McColl","Reinier B. Bakels","K581",489
1812,"Mozart","Clarinet Quintet in A major","3. Menuetto","Clarinet Quintet","William McColl","Reinier B. Bakels","K581",466
1813,"Mozart","Clarinet Quintet in A major","4. Allegretto con variazioni","Clarinet Quintet","William McColl","Reinier B. Bakels","K581",591
1817,"Mozart","Serenade in E-flat major","2. Menuetto","Pairs Clarinet-Horn-Bassoon","Soni Ventorum Wind Quintet","Oliver Seely","K375",250
1818,"Mozart","Serenade in E-flat major","3. Adagio","Pairs Clarinet-Horn-Bassoon","Soni Ventorum Wind Quintet","Oliver Seely","K375",407
1819,"Mozart","Serenade in E-flat major","4. Menuetto","Pairs Clarinet-Horn-Bassoon","Soni Ventorum Wind Quintet","Oliver Seely","K375",177
1822,"Mozart","String Quartet No 15 in D minor","1. Allegro moderato","String Quartet","Museopen","Gunter R. Findenegg","K421",460
1824,"Mozart","String Quartet No 15 in D minor","3. Menuetto and Trio. Allegretto","String Quartet","Museopen","Gunter R. Findenegg","K421",252
1828,"Mozart","Piano Trio No 4 in E major","2. Andante grazioso","Piano Trio","European Archive","Michael Iscenko","K542",265
1829,"Mozart","Piano Trio No 4 in E major","3. Allegro","Piano Trio","European Archive","Michael Iscenko","K542",421
1835,"Mozart","String Quartet No 23 in F major","3. Menuetto. Allegretto","String Quartet","European Archive","Gunter R. Findenegg","K590",236
1859,"Mozart","String Quartet No 18 in A major","2. Menuetto and Trio","String Quartet","European Archive","Gunter R. Findenegg","K464",392
1872,"Mozart","Piano Trio No 3 in B-flat major","2. Larghetto","Piano Trio","European Archive","Michael Iscenko","K502",509
1873,"Mozart","Piano Trio No 3 in B-flat major","3. Allegretto","Piano Trio","European Archive","Michael Iscenko","K502",366
1876,"Mozart","Piano Trio No2 in G major","2. Andante","Piano Trio","European Archive","Michael Iscenko","K496",356
1893,"Mozart","Piano Trio No 6 in G major","3. Allegretto","Piano Trio","European Archive","Michael Iscenko","K564",325
1916,"Dvorak","String Quartet No 10 in E-flat major","1. Allegro ma non troppo","String Quartet","Museopen","Benjamin R. Tubb","OP51",675
1918,"Dvorak","String Quartet No 10 in E-flat major","3. Romanza","String Quartet","Museopen","Benjamin R. Tubb","OP51",367
1919,"Dvorak","String Quartet No 10 in E-flat major","4. Finale","String Quartet","Museopen","Benjamin R. Tubb","OP51",434
1922,"Dvorak","String Quartet No 10 in E-flat major","3. Romanza","String Quartet","European Archive","Benjamin R. Tubb","OP51",402
1923,"Dvorak","String Quartet No 10 in E-flat major","4. Finale","String Quartet","European Archive","Benjamin R. Tubb","OP51",393
1931,"Dvorak","String Quartet No 12 in F major","2. Lento","String Quartet","Museopen","Masahiro Ishii","OP96",471
1932,"Dvorak","String Quartet No 12 in F major","3. Molto vivace","String Quartet","Museopen","Masahiro Ishii","OP96",250
1933,"Dvorak","String Quartet No 12 in F major","4. Finale: vivace ma non troppo","String Quartet","Museopen","Masahiro Ishii","OP96",351
2075,"Cambini","Wind Quintet No 1 in B-flat Major","1. Allegro maestoso","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN1",329
2076,"Cambini","Wind Quintet No 1 in B-flat Major","2. Larghetto cantabile","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN1",247
2077,"Cambini","Wind Quintet No 1 in B-flat Major","3. Rondo Allegretto grazioso","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN1",250
2078,"Cambini","Wind Quintet No 2 in D Minor","1. Allegro espressivo","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN2",355
2079,"Cambini","Wind Quintet No 2 in D Minor","2. Larghetto sostenuto ma con moto","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN2",278
2080,"Cambini","Wind Quintet No 2 in D Minor","3. Presto ma non tanto","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN2",233
2081,"Cambini","Wind Quintet No 3 in F Major","1. Allegro maestoso","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN3",299
2082,"Cambini","Wind Quintet No 3 in F Major","2. Larghetto sostenuto","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN3",341
2083,"Cambini","Wind Quintet No 3 in F Major","3. Rondo Allegro con brio","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN3",245
2104,"Haydn","Quartet No 53 in D major","1. Allegro moderato","String Quartet","Museopen","Andrew D. Lawson","OP64NO5",371
2105,"Haydn","Quartet No 53 in D major","2. Adagio - Cantabile","String Quartet","Museopen","Andrew D. Lawson","OP64NO5",291
2106,"Haydn","Quartet No 53 in D major","3. Menuetto: Allegretto","String Quartet","Museopen","Andrew D. Lawson","OP64NO5",226
2112,"Brahms","Cello Sonata No 1 in E minor","1. Allegro non troppo","Accompanied Cello","Stefano Ligoratti","Eric L. Schissel","OP38",897
2113,"Brahms","Cello Sonata No 1 in E minor","2. Allegretto quasi Menuetto","Accompanied Cello","Stefano Ligoratti","Eric L. Schissel","OP38",352
2114,"Brahms","Cello Sonata No 1 in E minor","3. Allegro","Accompanied Cello","Stefano Ligoratti","Eric L. Schissel","OP38",403
2116,"Brahms","Clarinet Sonata No 1 in F minor","1. Allegro appassionato","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",410
2117,"Brahms","Clarinet Sonata No 1 in F minor","2. Andante un poco Adagio","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",266
2118,"Brahms","Clarinet Sonata No 1 in F minor","3. Allegretto grazioso","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",232
2119,"Brahms","Clarinet Sonata No 1 in F minor","4. Vivace","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",294
2127,"Brahms","Serenade No 1 in D Major","2. Scherzo. Allegro non troppo","Wind and Strings Octet","European Archive","Oliver Seely","OP11",518
2131,"Brahms","Serenade No 1 in D Major","6. Rondo. Allegro","Wind and Strings Octet","European Archive","Oliver Seely","OP11",274
2138,"Brahms","String Quartet in C minor","2. Romanze: Poco adagio","String Quartet","European Archive","harfesoft.de","OP51NO1",429
2140,"Brahms","String Quartet in C minor","4. Allegro","String Quartet","European Archive","harfesoft.de","OP51NO1",381
2147,"Brahms","String Sextet No 2 in G major","4. Poco allegro","String Sextet","European Archive","harfesoft.de","OP36",501
2148,"Brahms","Piano Quartet No 1 in G minor","1. Allegro","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",822
2149,"Brahms","Piano Quartet No 1 in G minor","2. Intermezzo: Allegro ma non troppo","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",476
2150,"Brahms","Piano Quartet No 1 in G minor","3. Andante con moto","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",599
2151,"Brahms","Piano Quartet No 1 in G minor","4. Rondo alla Zingarese: Presto","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",533
2154,"Brahms","String Sextet No 1 in B-flat major","1. Allegro ma non troppo","String Sextet","Carl Banner","harfesoft.de","OP18",894
2155,"Brahms","String Sextet No 1 in B-flat major","2. Andante, ma moderato","String Sextet","Carl Banner","harfesoft.de","OP18",606
2156,"Brahms","String Sextet No 1 in B-flat major","3. Scherzo. Allegro molto","String Sextet","Carl Banner","harfesoft.de","OP18",192
2157,"Brahms","String Sextet No 1 in B-flat major","4. Rondo: Poco Allegretto e grazioso","String Sextet","Carl Banner","harfesoft.de","OP18",661
2158,"Brahms","Horn Trio in E-flat major","1. Andante","Horn Piano Trio","European Archive","David Rothschild","OP40",482
2159,"Brahms","Horn Trio in E-flat major","2. Scherzo (Allegro)","Horn Piano Trio","European Archive","David Rothschild","OP40",466
2160,"Brahms","Horn Trio in E-flat major","3. Adagio mesto","Horn Piano Trio","European Archive","David Rothschild","OP40",446
2161,"Brahms","Horn Trio in E-flat major","4. Allegro con brio","Horn Piano Trio","European Archive","David Rothschild","OP40",397
2166,"Faure","Piano Quartet No 2 in G minor","1. Allegro molto moderato","Piano Quartet","European Archive","Gregory Richardson","OP45",639
2167,"Faure","Piano Quartet No 2 in G minor","2. Allegro molto","Piano Quartet","European Archive","Gregory Richardson","OP45",193
2168,"Faure","Piano Quartet No 2 in G minor","3. Adagio non troppo","Piano Quartet","European Archive","Gregory Richardson","OP45",612
2169,"Faure","Piano Quartet No 2 in G minor","4. Allegro molto","Piano Quartet","European Archive","Gregory Richardson","OP45",519
2177,"Ravel","String Quartet in F","1. Allegro moderato - tres doux","String Quartet","Musicians from Marlboro","Gregory Richardson","35",490
2178,"Ravel","String Quartet in F","2. Assez vif - tres rythme","String Quartet","Musicians from Marlboro","Gregory Richardson","35",355
2179,"Ravel","String Quartet in F","3. Tres lent","String Quartet","Musicians from Marlboro","Gregory Richardson","35",505
2180,"Ravel","String Quartet in F","4. Vif et agite","String Quartet","Musicians from Marlboro","Gregory Richardson","35",293
2186,"Bach","Violin Partita No 3 in E major","1. Preludio","Solo Violin","Oliver Colbentston","suzumidi","BWV1006",214
2191,"Bach","Violin Partita No 3 in E major","6. Bourree","Solo Violin","Oliver Colbentston","suzumidi","BWV1006",102
2194,"Bach","WTK I, No. 13: Prelude and Fugue in F-sharp major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV858",100
2195,"Bach","WTK I, No. 3: Prelude and Fugue in C-sharp major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV848",155
2196,"Bach","WTK I, No. 3: Prelude and Fugue in C-sharp major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV848",75
2198,"Bach","WTK I, No. 22: Prelude and Fugue in B-flat minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV867",197
2200,"Bach","WTK I, No. 16: Prelude and Fugue in G minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV861",113
2201,"Bach","WTK I, No. 16: Prelude and Fugue in G minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV861",134
2202,"Bach","Partita in A minor","1. Allemande","Solo Flute","Scott Goff","David J. Grossman","BWV1013",181
2203,"Bach","Partita in A minor","2. Corrente","Solo Flute","Scott Goff","David J. Grossman","BWV1013",156
2204,"Bach","Partita in A minor","3. Sarabande","Solo Flute","Scott Goff","David J. Grossman","BWV1013",132
2207,"Bach","WTK I, No. 10: Prelude and Fugue in E minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV855",89
2208,"Bach","WTK I, No. 10: Prelude and Fugue in E minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV855",120
2209,"Bach","WTK I, No. 4: Prelude and Fugue in C-sharp minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV849",160
2210,"Bach","WTK I, No. 4: Prelude and Fugue in C-sharp minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV849",178
2211,"Bach","WTK I, No. 12: Prelude and Fugue in F minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV857",237
2212,"Bach","WTK I, No. 12: Prelude and Fugue in F minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV857",173
2213,"Bach","WTK I, No. 2: Prelude and Fugue in C minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV847",115
2214,"Bach","WTK I, No. 2: Prelude and Fugue in C minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV847",107
2215,"Bach","WTK I, No. 1: Prelude and Fugue in C major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV846",116
2217,"Bach","Cello Suite 3","1. Prelude","Solo Cello","European Archive","David J. Grossman","BWV1009",186
2218,"Bach","Cello Suite 3","2. Allemande","Solo Cello","European Archive","David J. Grossman","BWV1009",199
2219,"Bach","Cello Suite 3","3. Courante","Solo Cello","European Archive","David J. Grossman","BWV1009",260
2220,"Bach","Cello Suite 3","4. Sarabande","Solo Cello","European Archive","David J. Grossman","BWV1009",302
2221,"Bach","Cello Suite 3","5. Bouree","Solo Cello","European Archive","David J. Grossman","BWV1009",241
2222,"Bach","Cello Suite 3","6. Gigue","Solo Cello","European Archive","David J. Grossman","BWV1009",202
2224,"Bach","WTK I, No. 7: Prelude and Fugue in E-flat major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV852",108
2225,"Bach","WTK I, No. 7: Prelude and Fugue in E-flat major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV852",213
2227,"Bach","WTK I, No. 6: Prelude and Fugue in D minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV851",129
2228,"Bach","WTK I, No. 6: Prelude and Fugue in D minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV851",98
2229,"Bach","WTK I, No. 20: Prelude and Fugue in A minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV865",244
2230,"Bach","WTK I, No. 20: Prelude and Fugue in A minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV865",84
2231,"Bach","WTK I, No. 21: Prelude and Fugue in B-flat major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV866",115
2232,"Bach","WTK I, No. 21: Prelude and Fugue in B-flat major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV866",78
2234,"Bach","WTK I, No. 11: Prelude and Fugue in F major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV856",64
2237,"Bach","WTK I, No. 23: Prelude and Fugue in B major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV868",109
2238,"Bach","WTK I, No. 23: Prelude and Fugue in B major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV868",60
2239,"Bach","WTK I, No. 17: Prelude and Fugue in A-flat major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV862",120
2240,"Bach","WTK I, No. 17: Prelude and Fugue in A-flat major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV862",92
2241,"Bach","Violin Sonata No 1 in G minor","1. Adagio","Solo Violin","European Archive","suzumidi","BWV1001",242
2242,"Bach","Violin Sonata No 1 in G minor","2. Fuga","Solo Violin","European Archive","suzumidi","BWV1001",312
2243,"Bach","Violin Sonata No 1 in G minor","3. Siciliana","Solo Violin","European Archive","suzumidi","BWV1001",193
2244,"Bach","Violin Sonata No 1 in G minor","4. Presto","Solo Violin","European Archive","suzumidi","BWV1001",214
2247,"Bach","WTK I, No. 9: Prelude and Fugue in E major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV854",81
2248,"Bach","WTK I, No. 9: Prelude and Fugue in E major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV854",104
2282,"Bach","Violin Sonata in B minor","1. Adagio","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",313
2283,"Bach","Violin Sonata in B minor","2. Allegro","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",192
2284,"Bach","Violin Sonata in B minor","3. Andante","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",227
2285,"Bach","Violin Sonata in B minor","4. Allegro","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",225
2288,"Bach","Violin Partita No 1 in B minor","2. Corrente","Solo Violin","John Garner","suzumidi","BWV1002",191
2289,"Bach","Violin Partita No 1 in B minor","3. Sarabande","Solo Violin","John Garner","suzumidi","BWV1002",203
2292,"Bach","WTK I, No. 19: Prelude and Fugue in A major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV864",91
2293,"Bach","Cello Suite 4","1. Prelude","Solo Cello","European Archive","David J. Grossman","BWV1010",310
2294,"Bach","Cello Suite 4","2. Allemande","Solo Cello","European Archive","David J. Grossman","BWV1010",228
2295,"Bach","Cello Suite 4","3. Courante","Solo Cello","European Archive","David J. Grossman","BWV1010",259
2296,"Bach","Cello Suite 4","4. Sarabande","Solo Cello","European Archive","David J. Grossman","BWV1010",291
2297,"Bach","Cello Suite 4","5. Bouree","Solo Cello","European Archive","David J. Grossman","BWV1010",334
2298,"Bach","Cello Suite 4","6. Gigue","Solo Cello","European Archive","David J. Grossman","BWV1010",153
2300,"Bach","WTK I, No. 8: Prelude and Fugue in E-flat minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV853",238
2302,"Bach","WTK I, No. 5: Prelude and Fugue in D major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV850",108
2303,"Bach","WTK I, No. 5: Prelude and Fugue in D major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV850",92
2304,"Bach","WTK I, No. 14: Prelude and Fugue in F-sharp minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV859",196
